correlation_observed	correlation_target	estimation_method	iteration	iti_mean	n_trials	signal_magnitude	snr_method
-0.3046099371527428	-0.8	lsa	0	8.0	30	8.17	CNR_Amp/Noise-SD
0.08648650071678991	-0.2	lsa	0	8.0	30	8.17	CNR_Amp/Noise-SD
-0.35432719993414197	-0.4	lsa	0	8.0	30	8.17	CNR_Amp/Noise-SD
0.0010178153851561548	-0.6	lsa	0	8.0	30	8.17	CNR_Amp/Noise-SD
0.9999955051058192	-0.6	lss	0	2.0	45	8.17	CNR_Amp/Noise-SD
-0.47832616286312857	-0.4	lss	0	2.0	45	8.17	CNR_Amp/Noise-SD
-0.011239687396091458	-0.8	lss	0	2.0	45	8.17	CNR_Amp/Noise-SD
-0.5385462624239481	-0.2	lss	0	2.0	45	8.17	CNR_Amp/Noise-SD
-0.4651509383390928	-0.6	lsa	0	2.0	45	8.17	CNR_Amp/Noise-SD
-0.9999677444521858	-0.4	lsa	0	2.0	45	8.17	CNR_Amp/Noise-SD
-0.917383970638487	-0.8	lsa	0	2.0	45	8.17	CNR_Amp/Noise-SD
-0.9330603824143523	-0.2	lsa	0	2.0	45	8.17	CNR_Amp/Noise-SD
-0.7481748922396085	-0.8	lss	0	4.0	45	8.17	CNR_Amp/Noise-SD
-0.6046559790946969	-0.6	lss	0	4.0	45	8.17	CNR_Amp/Noise-SD
-0.4457197294473609	-0.2	lss	0	4.0	45	8.17	CNR_Amp/Noise-SD
-0.29089860623109515	-0.4	lss	0	4.0	45	8.17	CNR_Amp/Noise-SD
0.6244182561504955	-0.8	lsa	0	4.0	45	8.17	CNR_Amp/Noise-SD
-0.8200149795248353	-0.6	lsa	0	4.0	45	8.17	CNR_Amp/Noise-SD
0.02653525621601011	-0.2	lsa	0	4.0	45	8.17	CNR_Amp/Noise-SD
-0.5785553190755263	-0.4	lsa	0	4.0	45	8.17	CNR_Amp/Noise-SD
-0.6216951742186232	-0.6	lss	0	6.0	45	8.17	CNR_Amp/Noise-SD
-0.3199930004001262	-0.4	lss	0	6.0	45	8.17	CNR_Amp/Noise-SD
-0.37999888716204716	-0.8	lss	0	6.0	45	8.17	CNR_Amp/Noise-SD
-0.2169211176634422	-0.2	lss	0	6.0	45	8.17	CNR_Amp/Noise-SD
-0.3780254200770611	-0.6	lsa	0	6.0	45	8.17	CNR_Amp/Noise-SD
-0.1225218210461455	-0.4	lsa	0	6.0	45	8.17	CNR_Amp/Noise-SD
-0.28315340904863184	-0.8	lsa	0	6.0	45	8.17	CNR_Amp/Noise-SD
-0.23976253278261125	-0.2	lsa	0	6.0	45	8.17	CNR_Amp/Noise-SD
-0.2778092582683429	-0.4	lss	0	8.0	45	8.17	CNR_Amp/Noise-SD
-0.6301555650513474	-0.8	lss	0	8.0	45	8.17	CNR_Amp/Noise-SD
-0.19234848696468748	-0.2	lss	0	8.0	45	8.17	CNR_Amp/Noise-SD
-0.48560895087269396	-0.6	lss	0	8.0	45	8.17	CNR_Amp/Noise-SD
0.05470141697425801	-0.4	lsa	0	8.0	45	8.17	CNR_Amp/Noise-SD
-0.3465425646445818	-0.8	lsa	0	8.0	45	8.17	CNR_Amp/Noise-SD
-0.25138592384974706	-0.2	lsa	0	8.0	45	8.17	CNR_Amp/Noise-SD
-0.35596042935782257	-0.6	lsa	0	8.0	45	8.17	CNR_Amp/Noise-SD
-0.4221662276180945	-0.8	lss	0	2.0	60	8.17	CNR_Amp/Noise-SD
-0.5927220321210148	-0.6	lss	0	2.0	60	8.17	CNR_Amp/Noise-SD
-0.7302394757193541	-0.2	lss	0	2.0	60	8.17	CNR_Amp/Noise-SD
-0.2343388327792465	-0.4	lss	0	2.0	60	8.17	CNR_Amp/Noise-SD
-0.9999959957887191	-0.8	lsa	0	2.0	60	8.17	CNR_Amp/Noise-SD
-0.9999190970423861	-0.6	lsa	0	2.0	60	8.17	CNR_Amp/Noise-SD
-0.9999983721516944	-0.2	lsa	0	2.0	60	8.17	CNR_Amp/Noise-SD
-0.9996751677141467	-0.4	lsa	0	2.0	60	8.17	CNR_Amp/Noise-SD
-0.5695425264992702	-0.8	lss	0	4.0	60	8.17	CNR_Amp/Noise-SD
-0.41517353763511367	-0.4	lss	0	4.0	60	8.17	CNR_Amp/Noise-SD
-0.2411186606829214	-0.2	lss	0	4.0	60	8.17	CNR_Amp/Noise-SD
-0.4561510598356388	-0.6	lss	0	4.0	60	8.17	CNR_Amp/Noise-SD
-0.3395990073562774	-0.8	lsa	0	4.0	60	8.17	CNR_Amp/Noise-SD
-0.4682798431745964	-0.4	lsa	0	4.0	60	8.17	CNR_Amp/Noise-SD
-0.22815940259845743	-0.2	lsa	0	4.0	60	8.17	CNR_Amp/Noise-SD
-0.0627667389759621	-0.6	lsa	0	4.0	60	8.17	CNR_Amp/Noise-SD
-0.5865422593808287	-0.8	lss	0	6.0	60	8.17	CNR_Amp/Noise-SD
-0.5285194246789396	-0.4	lss	0	6.0	60	8.17	CNR_Amp/Noise-SD
-0.6339327574912438	-0.6	lss	0	6.0	60	8.17	CNR_Amp/Noise-SD
-0.1551463317947609	-0.2	lss	0	6.0	60	8.17	CNR_Amp/Noise-SD
-0.6472739370226572	-0.8	lsa	0	6.0	60	8.17	CNR_Amp/Noise-SD
-0.3867479963386819	-0.4	lsa	0	6.0	60	8.17	CNR_Amp/Noise-SD
-0.47339150974521865	-0.6	lsa	0	6.0	60	8.17	CNR_Amp/Noise-SD
-0.35742571001671647	-0.2	lsa	0	6.0	60	8.17	CNR_Amp/Noise-SD
-0.513200671946633	-0.6	lss	0	8.0	60	8.17	CNR_Amp/Noise-SD
-0.3359006471690023	-0.4	lss	0	8.0	60	8.17	CNR_Amp/Noise-SD
-0.6064041251421345	-0.8	lss	0	8.0	60	8.17	CNR_Amp/Noise-SD
-0.15538882153856537	-0.2	lss	0	8.0	60	8.17	CNR_Amp/Noise-SD
-0.3321129792822666	-0.6	lsa	0	8.0	60	8.17	CNR_Amp/Noise-SD
-0.44876300114983264	-0.4	lsa	0	8.0	60	8.17	CNR_Amp/Noise-SD
-0.25737150933717123	-0.8	lsa	0	8.0	60	8.17	CNR_Amp/Noise-SD
-0.17279216895369573	-0.2	lsa	0	8.0	60	8.17	CNR_Amp/Noise-SD
-0.4625967910830362	-0.8	lss	0	2.0	15	37.06	CNR_Amp/Noise-SD
-0.4134028762128843	-0.6	lss	0	2.0	15	37.06	CNR_Amp/Noise-SD
0.9999999953138091	-0.2	lss	0	2.0	15	37.06	CNR_Amp/Noise-SD
-0.6687551342540662	-0.4	lss	0	2.0	15	37.06	CNR_Amp/Noise-SD
0.9267855234634703	-0.8	lsa	0	2.0	15	37.06	CNR_Amp/Noise-SD
0.9999974038059757	-0.6	lsa	0	2.0	15	37.06	CNR_Amp/Noise-SD
-0.9999999999999265	-0.2	lsa	0	2.0	15	37.06	CNR_Amp/Noise-SD
0.9999920629119928	-0.4	lsa	0	2.0	15	37.06	CNR_Amp/Noise-SD
-0.0315971343595915	-0.8	lss	0	4.0	15	37.06	CNR_Amp/Noise-SD
-0.16204091342767402	-0.4	lss	0	4.0	15	37.06	CNR_Amp/Noise-SD
0.05473624330608246	-0.6	lss	0	4.0	15	37.06	CNR_Amp/Noise-SD
-0.1793616653258579	-0.2	lss	0	4.0	15	37.06	CNR_Amp/Noise-SD
0.04938990367110088	-0.8	lsa	0	4.0	15	37.06	CNR_Amp/Noise-SD
